!MOLECULE
o-H2CO
!MOLECULAR WEIGHT
30.0
!NUMBER OF ENERGY LEVELS
10
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J_Kp_Ko
    1       10.539000      3.0      1_1_1
    2       10.700100      3.0      1_1_0
    3       15.236900      5.0      2_1_2
    4       15.720200      5.0      2_1_1
    5       22.282200      7.0      3_1_3
    6       23.248700      7.0      3_1_2
    7       31.672900      9.0      4_1_4
    8       33.283500      9.0      4_1_3
    9       43.406700     11.0      5_1_5
   10       45.822000     11.0      5_1_4
!NUMBER OF RADIATIVE TRANSITIONS
13
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
  1    2    1      3.564e-09          4.829660     15.4
  2    3    1      5.304e-05        140.839502     21.9
  3    4    3      3.208e-08         14.488479     22.6
  4    4    2      6.472e-05        150.498334     22.6
  5    5    3      2.271e-04        211.211468     32.1
  6    6    5      1.283e-07         28.974805     33.4
  7    6    4      2.772e-04        225.697775     33.4
  8    7    5      5.883e-04        281.526929     45.6
  9    8    7      3.564e-07         48.284547     47.9
 10    8    6      7.178e-04        300.836635     47.9
 11    9    7      1.202e-03        351.768645     62.5
 12   10    9      8.017e-07         72.409090     65.9
 13   10    8      1.466e-03        375.893216     65.9
!NUMBER OF COLL PARTNERS
2
!COLLISIONS BETWEEN
3 o-H2CO - o-H2 from Troscompt (2009)
!NUMBER OF COLL TRANS
45
!NUMBER OF COLL TEMPS
20
!COLL TEMPS
    5.0   10.0   15.0   20.0   25.0   30.0   35.0   40.0   45.0   50.0   55.0   60.0   65.0   70.0   75.0   80.0   85.0   90.0   95.0  100.0
!TRANS+ UP+ LOW+ COLLRATES(cm^3 s^-1)
  14    6    4  1.419e-10  1.550e-10  1.575e-10  1.573e-10  1.565e-10  1.555e-10  1.548e-10  1.542e-10  1.539e-10  1.537e-10  1.537e-10  1.538e-10  1.541e-10  1.544e-10  1.549e-10  1.554e-10  1.560e-10  1.567e-10  1.574e-10  1.582e-10
  15    6    5  9.072e-11  9.378e-11  9.130e-11  8.775e-11  8.432e-11  8.130e-11  7.869e-11  7.645e-11  7.453e-11  7.288e-11  7.146e-11  7.022e-11  6.915e-11  6.821e-11  6.739e-11  6.668e-11  6.604e-11  6.549e-11  6.501e-11  6.458e-11
  16    7    1  2.875e-11  3.023e-11  3.028e-11  2.987e-11  2.931e-11  2.872e-11  2.815e-11  2.762e-11  2.712e-11  2.666e-11  2.623e-11  2.584e-11  2.547e-11  2.513e-11  2.481e-11  2.452e-11  2.424e-11  2.398e-11  2.374e-11  2.351e-11
  17    7    2  3.418e-11  3.588e-11  3.576e-11  3.485e-11  3.373e-11  3.261e-11  3.155e-11  3.058e-11  2.970e-11  2.891e-11  2.819e-11  2.754e-11  2.695e-11  2.641e-11  2.592e-11  2.547e-11  2.506e-11  2.468e-11  2.433e-11  2.401e-11
  18    7    3  5.791e-11  6.231e-11  6.468e-11  6.586e-11  6.639e-11  6.655e-11  6.649e-11  6.629e-11  6.601e-11  6.568e-11  6.531e-11  6.492e-11  6.452e-11  6.412e-11  6.371e-11  6.331e-11  6.291e-11  6.251e-11  6.213e-11  6.175e-11
  19    7    4  5.455e-11  5.526e-11  5.389e-11  5.197e-11  5.005e-11  4.825e-11  4.663e-11  4.517e-11  4.386e-11  4.267e-11  4.160e-11  4.063e-11  3.974e-11  3.893e-11  3.819e-11  3.750e-11  3.686e-11  3.627e-11  3.572e-11  3.521e-11
  20    7    5  1.336e-10  1.526e-10  1.614e-10  1.658e-10  1.683e-10  1.699e-10  1.712e-10  1.723e-10  1.733e-10  1.743e-10  1.753e-10  1.764e-10  1.775e-10  1.786e-10  1.798e-10  1.810e-10  1.822e-10  1.835e-10  1.848e-10  1.861e-10
  21    7    6  8.081e-11  8.070e-11  7.903e-11  7.643e-11  7.364e-11  7.093e-11  6.840e-11  6.607e-11  6.394e-11  6.199e-11  6.021e-11  5.857e-11  5.706e-11  5.567e-11  5.438e-11  5.318e-11  5.207e-11  5.103e-11  5.005e-11  4.914e-11
  22    8    1  1.756e-11  1.798e-11  1.744e-11  1.670e-11  1.602e-11  1.543e-11  1.495e-11  1.455e-11  1.422e-11  1.396e-11  1.374e-11  1.357e-11  1.343e-11  1.332e-11  1.323e-11  1.317e-11  1.313e-11  1.310e-11  1.308e-11  1.308e-11
  23    8    2  1.993e-11  2.105e-11  2.103e-11  2.055e-11  1.993e-11  1.930e-11  1.871e-11  1.817e-11  1.767e-11  1.722e-11  1.682e-11  1.645e-11  1.611e-11  1.580e-11  1.552e-11  1.526e-11  1.503e-11  1.481e-11  1.460e-11  1.442e-11
  24    8    3  3.860e-11  3.956e-11  3.859e-11  3.705e-11  3.546e-11  3.399e-11  3.266e-11  3.149e-11  3.045e-11  2.952e-11  2.869e-11  2.795e-11  2.728e-11  2.668e-11  2.614e-11  2.564e-11  2.518e-11  2.477e-11  2.438e-11  2.403e-11
  25    8    4  5.142e-11  5.727e-11  5.935e-11  6.023e-11  6.061e-11  6.076e-11  6.078e-11  6.074e-11  6.066e-11  6.056e-11  6.045e-11  6.034e-11  6.023e-11  6.012e-11  6.001e-11  5.991e-11  5.981e-11  5.971e-11  5.962e-11  5.954e-11
  26    8    5  5.599e-11  5.695e-11  5.579e-11  5.407e-11  5.238e-11  5.085e-11  4.951e-11  4.835e-11  4.733e-11  4.645e-11  4.568e-11  4.501e-11  4.441e-11  4.389e-11  4.343e-11  4.302e-11  4.266e-11  4.234e-11  4.206e-11  4.180e-11
  27    8    6  1.304e-10  1.496e-10  1.583e-10  1.624e-10  1.647e-10  1.662e-10  1.673e-10  1.683e-10  1.693e-10  1.702e-10  1.713e-10  1.723e-10  1.735e-10  1.746e-10  1.759e-10  1.771e-10  1.784e-10  1.798e-10  1.812e-10  1.826e-10
  28    8    7  7.706e-11  7.864e-11  7.677e-11  7.376e-11  7.070e-11  6.790e-11  6.543e-11  6.326e-11  6.138e-11  5.973e-11  5.828e-11  5.701e-11  5.588e-11  5.489e-11  5.400e-11  5.321e-11  5.250e-11  5.186e-11  5.129e-11  5.078e-11
  29    9    1  1.982e-11  2.106e-11  2.129e-11  2.096e-11  2.044e-11  1.989e-11  1.937e-11  1.888e-11  1.845e-11  1.805e-11  1.770e-11  1.739e-11  1.711e-11  1.686e-11  1.664e-11  1.644e-11  1.626e-11  1.610e-11  1.596e-11  1.583e-11
  30    9    2  1.806e-11  1.955e-11  1.983e-11  1.969e-11  1.941e-11  1.910e-11  1.879e-11  1.849e-11  1.822e-11  1.797e-11  1.774e-11  1.754e-11  1.735e-11  1.717e-11  1.702e-11  1.687e-11  1.674e-11  1.662e-11  1.651e-11  1.640e-11
  31    9    3  3.318e-11  3.559e-11  3.636e-11  3.614e-11  3.551e-11  3.474e-11  3.393e-11  3.314e-11  3.239e-11  3.169e-11  3.103e-11  3.042e-11  2.986e-11  2.934e-11  2.885e-11  2.840e-11  2.798e-11  2.758e-11  2.722e-11  2.687e-11
  32    9    4  3.575e-11  3.761e-11  3.764e-11  3.681e-11  3.571e-11  3.460e-11  3.354e-11  3.257e-11  3.169e-11  3.089e-11  3.017e-11  2.952e-11  2.893e-11  2.839e-11  2.791e-11  2.746e-11  2.705e-11  2.668e-11  2.633e-11  2.601e-11
  33    9    5  6.311e-11  6.811e-11  7.127e-11  7.297e-11  7.386e-11  7.428e-11  7.442e-11  7.438e-11  7.423e-11  7.401e-11  7.374e-11  7.344e-11  7.312e-11  7.280e-11  7.247e-11  7.214e-11  7.181e-11  7.148e-11  7.116e-11  7.085e-11
  34    9    6  5.567e-11  5.587e-11  5.441e-11  5.234e-11  5.022e-11  4.825e-11  4.645e-11  4.483e-11  4.338e-11  4.207e-11  4.089e-11  3.982e-11  3.885e-11  3.796e-11  3.715e-11  3.640e-11  3.571e-11  3.506e-11  3.447e-11  3.391e-11
  35    9    7  1.116e-10  1.356e-10  1.495e-10  1.580e-10  1.637e-10  1.681e-10  1.717e-10  1.747e-10  1.775e-10  1.801e-10  1.826e-10  1.850e-10  1.873e-10  1.896e-10  1.919e-10  1.941e-10  1.964e-10  1.986e-10  2.009e-10  2.032e-10
  36    9    8  7.753e-11  7.536e-11  7.270e-11  6.955e-11  6.644e-11  6.355e-11  6.093e-11  5.856e-11  5.643e-11  5.451e-11  5.277e-11  5.118e-11  4.973e-11  4.840e-11  4.718e-11  4.606e-11  4.501e-11  4.404e-11  4.314e-11  4.229e-11
  37   10    1  9.947e-12  1.022e-11  9.884e-12  9.344e-12  8.792e-12  8.284e-12  7.832e-12  7.434e-12  7.084e-12  6.775e-12  6.501e-12  6.258e-12  6.041e-12  5.845e-12  5.669e-12  5.509e-12  5.363e-12  5.230e-12  5.108e-12  4.996e-12
  38   10    2  1.124e-11  1.183e-11  1.171e-11  1.127e-11  1.079e-11  1.035e-11  9.967e-12  9.650e-12  9.389e-12  9.176e-12  9.003e-12  8.865e-12  8.755e-12  8.670e-12  8.607e-12  8.562e-12  8.532e-12  8.517e-12  8.514e-12  8.523e-12
  39   10    3  1.739e-11  1.831e-11  1.822e-11  1.766e-11  1.702e-11  1.642e-11  1.589e-11  1.544e-11  1.507e-11  1.475e-11  1.449e-11  1.427e-11  1.409e-11  1.394e-11  1.383e-11  1.373e-11  1.366e-11  1.361e-11  1.358e-11  1.356e-11
  40   10    4  2.610e-11  2.829e-11  2.887e-11  2.863e-11  2.809e-11  2.747e-11  2.685e-11  2.626e-11  2.572e-11  2.522e-11  2.476e-11  2.435e-11  2.397e-11  2.363e-11  2.332e-11  2.304e-11  2.278e-11  2.254e-11  2.233e-11  2.213e-11
  41   10    5  3.409e-11  3.589e-11  3.540e-11  3.412e-11  3.268e-11  3.131e-11  3.005e-11  2.893e-11  2.793e-11  2.704e-11  2.624e-11  2.553e-11  2.488e-11  2.430e-11  2.378e-11  2.330e-11  2.287e-11  2.247e-11  2.210e-11  2.177e-11
  42   10    6  6.309e-11  6.977e-11  7.290e-11  7.439e-11  7.513e-11  7.547e-11  7.559e-11  7.560e-11  7.554e-11  7.543e-11  7.531e-11  7.518e-11  7.505e-11  7.492e-11  7.479e-11  7.466e-11  7.455e-11  7.444e-11  7.434e-11  7.424e-11
  43   10    7  4.948e-11  5.131e-11  5.082e-11  4.942e-11  4.785e-11  4.633e-11  4.496e-11  4.372e-11  4.263e-11  4.166e-11  4.080e-11  4.004e-11  3.936e-11  3.875e-11  3.821e-11  3.772e-11  3.728e-11  3.688e-11  3.652e-11  3.619e-11
  44   10    8  1.181e-10  1.417e-10  1.543e-10  1.616e-10  1.665e-10  1.703e-10  1.734e-10  1.761e-10  1.787e-10  1.812e-10  1.836e-10  1.860e-10  1.884e-10  1.908e-10  1.932e-10  1.956e-10  1.980e-10  2.005e-10  2.029e-10  2.054e-10
  45   10    9  6.327e-11  6.495e-11  6.372e-11  6.144e-11  5.904e-11  5.680e-11  5.479e-11  5.301e-11  5.145e-11  5.007e-11  4.886e-11  4.778e-11  4.682e-11  4.596e-11  4.519e-11  4.450e-11  4.388e-11  4.332e-11  4.281e-11  4.235e-11
!COLLISIONS BETWEEN
2 o-H2CO - p-H2 from Troscompt (2009)
!NUMBER OF COLL TRANS
45
!NUMBER OF COLL TEMPS
20
!COLL TEMPS
5.0 10.0 15.0 20.0 25.0 30.0 35.0 40.0 45.0 50.0 55.0 60.0 65.0 70.0 75.0 80.0 85.0 90.0 95.0 100.0
!TRANS+ UP+ LOW+ COLLRATES(cm^3 s^-1)
1 2 1  1.072e-10 8.446e-11 6.973e-11 6.219e-11 5.798e-11 5.550e-11 5.399e-11 5.308e-11 5.253e-11 5.225e-11 5.213e-11 5.213e-11 5.223e-11 5.238e-11 5.258e-11 5.281e-11 5.306e-11 5.333e-11 5.361e-11 5.389e-11
2 3 1  9.498e-11 8.414e-11 7.781e-11 7.389e-11 7.116e-11 6.911e-11 6.747e-11 6.611e-11 6.495e-11 6.393e-11 6.302e-11 6.220e-11 6.144e-11 6.074e-11 6.009e-11 5.948e-11 5.890e-11 5.835e-11 5.783e-11 5.733e-11
3 3 2  1.164e-10 1.132e-10 1.077e-10 1.026e-10 9.821e-11 9.442e-11 9.114e-11 8.827e-11 8.575e-11 8.350e-11 8.149e-11 7.967e-11 7.803e-11 7.652e-11 7.514e-11 7.386e-11 7.268e-11 7.158e-11 7.056e-11 6.960e-11
4 4 1  6.543e-11 5.962e-11 5.742e-11 5.665e-11 5.648e-11 5.660e-11 5.687e-11 5.720e-11 5.756e-11 5.794e-11 5.832e-11 5.869e-11 5.905e-11 5.940e-11 5.973e-11 6.005e-11 6.035e-11 6.064e-11 6.092e-11 6.119e-11
5 4 2  6.900e-11 6.254e-11 5.691e-11 5.352e-11 5.136e-11 4.992e-11 4.892e-11 4.819e-11 4.765e-11 4.724e-11 4.693e-11 4.669e-11 4.650e-11 4.635e-11 4.623e-11 4.614e-11 4.606e-11 4.600e-11 4.596e-11 4.592e-11
6 4 3  8.307e-11 7.648e-11 6.938e-11 6.402e-11 5.998e-11 5.684e-11 5.433e-11 5.228e-11 5.058e-11 4.914e-11 4.790e-11 4.683e-11 4.589e-11 4.507e-11 4.433e-11 4.368e-11 4.309e-11 4.256e-11 4.207e-11 4.163e-11
7 5 1  5.739e-11 5.425e-11 5.210e-11 5.057e-11 4.939e-11 4.845e-11 4.768e-11 4.701e-11 4.644e-11 4.593e-11 4.548e-11 4.507e-11 4.470e-11 4.436e-11 4.405e-11 4.376e-11 4.348e-11 4.323e-11 4.299e-11 4.277e-11
8 5 2  5.581e-11 5.632e-11 5.428e-11 5.175e-11 4.929e-11 4.702e-11 4.499e-11 4.316e-11 4.151e-11 4.003e-11 3.869e-11 3.747e-11 3.635e-11 3.533e-11 3.439e-11 3.352e-11 3.271e-11 3.195e-11 3.125e-11 3.059e-11
9 5 3  9.395e-11 9.667e-11 9.542e-11 9.387e-11 9.241e-11 9.110e-11 8.993e-11 8.887e-11 8.791e-11 8.703e-11 8.621e-11 8.546e-11 8.476e-11 8.410e-11 8.348e-11 8.289e-11 8.234e-11 8.181e-11 8.131e-11 8.083e-11
10 5 4  1.054e-10 9.920e-11 9.358e-11 8.861e-11 8.436e-11 8.073e-11 7.760e-11 7.488e-11 7.250e-11 7.040e-11 6.852e-11 6.683e-11 6.531e-11 6.393e-11 6.267e-11 6.151e-11 6.044e-11 5.946e-11 5.854e-11 5.769e-11
11 6 1  3.126e-11 2.898e-11 2.655e-11 2.474e-11 2.337e-11 2.233e-11 2.150e-11 2.083e-11 2.027e-11 1.981e-11 1.942e-11 1.909e-11 1.880e-11 1.855e-11 1.833e-11 1.814e-11 1.797e-11 1.782e-11 1.769e-11 1.757e-11
12 6 2  3.351e-11 3.370e-11 3.384e-11 3.388e-11 3.388e-11 3.389e-11 3.390e-11 3.392e-11 3.396e-11 3.401e-11 3.407e-11 3.413e-11 3.421e-11 3.429e-11 3.438e-11 3.447e-11 3.456e-11 3.466e-11 3.476e-11 3.487e-11
13 6 3  6.940e-11 6.284e-11 5.853e-11 5.573e-11 5.381e-11 5.244e-11 5.143e-11 5.066e-11 5.008e-11 4.964e-11 4.930e-11 4.903e-11 4.884e-11 4.869e-11 4.859e-11 4.852e-11 4.848e-11 4.847e-11 4.848e-11 4.850e-11
14 6 4  7.681e-11 7.543e-11 7.306e-11 7.098e-11 6.926e-11 6.782e-11 6.661e-11 6.558e-11 6.469e-11 6.391e-11 6.323e-11 6.262e-11 6.208e-11 6.159e-11 6.115e-11 6.075e-11 6.039e-11 6.005e-11 5.975e-11 5.946e-11
15 6 5  7.379e-11 7.240e-11 6.788e-11 6.352e-11 5.978e-11 5.664e-11 5.398e-11 5.173e-11 4.980e-11 4.812e-11 4.666e-11 4.536e-11 4.422e-11 4.319e-11 4.227e-11 4.144e-11 4.069e-11 4.000e-11 3.937e-11 3.880e-11
16 7 1  3.795e-11 3.960e-11 4.000e-11 3.953e-11 3.872e-11 3.778e-11 3.684e-11 3.592e-11 3.505e-11 3.424e-11 3.348e-11 3.277e-11 3.212e-11 3.150e-11 3.093e-11 3.040e-11 2.990e-11 2.943e-11 2.899e-11 2.858e-11
17 7 2  2.460e-11 2.354e-11 2.236e-11 2.146e-11 2.078e-11 2.026e-11 1.984e-11 1.950e-11 1.923e-11 1.900e-11 1.881e-11 1.865e-11 1.851e-11 1.839e-11 1.829e-11 1.820e-11 1.812e-11 1.805e-11 1.800e-11 1.795e-11
18 7 3  6.234e-11 6.226e-11 6.057e-11 5.885e-11 5.733e-11 5.602e-11 5.489e-11 5.392e-11 5.308e-11 5.234e-11 5.169e-11 5.111e-11 5.059e-11 5.013e-11 4.971e-11 4.934e-11 4.899e-11 4.868e-11 4.840e-11 4.813e-11
19 7 4  6.032e-11 6.137e-11 6.060e-11 5.889e-11 5.693e-11 5.499e-11 5.314e-11 5.143e-11 4.986e-11 4.842e-11 4.710e-11 4.589e-11 4.477e-11 4.373e-11 4.278e-11 4.189e-11 4.106e-11 4.029e-11 3.957e-11 3.889e-11
20 7 5  6.812e-11 7.807e-11 8.284e-11 8.494e-11 8.577e-11 8.596e-11 8.581e-11 8.549e-11 8.507e-11 8.461e-11 8.414e-11 8.367e-11 8.322e-11 8.278e-11 8.236e-11 8.196e-11 8.158e-11 8.123e-11 8.089e-11 8.058e-11
21 7 6  9.831e-11 9.407e-11 8.831e-11 8.288e-11 7.816e-11 7.413e-11 7.069e-11 6.773e-11 6.516e-11 6.290e-11 6.092e-11 5.915e-11 5.756e-11 5.614e-11 5.485e-11 5.368e-11 5.260e-11 5.162e-11 5.071e-11 4.988e-11
22 8 1  1.184e-11 1.208e-11 1.159e-11 1.100e-11 1.048e-11 1.004e-11 9.672e-12 9.372e-12 9.125e-12 8.920e-12 8.751e-12 8.611e-12 8.495e-12 8.399e-12 8.321e-12 8.257e-12 8.205e-12 8.165e-12 8.134e-12 8.112e-12
23 8 2  1.762e-11 1.845e-11 1.799e-11 1.722e-11 1.645e-11 1.576e-11 1.517e-11 1.467e-11 1.424e-11 1.388e-11 1.356e-11 1.330e-11 1.307e-11 1.287e-11 1.270e-11 1.255e-11 1.242e-11 1.231e-11 1.222e-11 1.214e-11
